validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude,,,,,,,,,,,,
False,Christ the Light of the World,Church,"32 S 1st St, Duquesne, PA 15110",https://christthelightoftheworld.org/,"Wednesday Mar 6 from 11:00 AM to 7:00 PM, Friday Apr 5 from 11:00 AM to 7:00 PM, Friday Apr 12 from 11:00 AM to 7:00 PM","Data from 2018. Call to verify for 2019. /Dine-in, takeout and local delivery available. Order by phone for pickup or delivery, 412-466-8960 on Tuesday Feb 28, from 11am - 4pm and Wednesday, March 1st.",,"Data from 2018. Call to confirm for 2019. 
Large code sandwich on a bun, $6.50; haluski, $2 each; macaroni and cheese, $2; french fries, $2; coleslaw, $1; homemade baked goods, $1; ice tea or soda, $1; coffee or tea, 50 cents.",Holy Name Church Hall (under church),(412) 469-0196,,,True,False,True,,False,,40.372447,-79.845755,,,,,,,,,,,,
True,Bobtown and Dunkard Twp Volunteer Fire,Fire Department,"1 Larimer Ave Bobtown, Pa 15315",https://www.facebook.com/Bobtown-Dunkard-Township-Volunteer-Fire-Company-186206404761913/?tn-str=k*F,"Wednesday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 8 from 11:00 AM to 7:00 PM, Friday Mar 15 from 11:00 AM to 7:00 PM, Friday Mar 22 from 11:00 AM to 7:00 PM, Friday Mar 29 from 11:00 AM to 7:00 PM, Friday Apr 5 from 11:00 AM to 7:00 PM, Friday Apr 12 from 11:00 AM to 7:00 PM, Friday Apr 19 from 11:00 AM to 7:00 PM",The address for this fish fry is uncertain. Please check with Bobtown and Dunkard Volunteer Fire Department before visiting.//Debit cards accepted!,https://www.facebook.com/186206404761913/photos/pb.186206404761913.-2207520000.1551315140./2022928431089692/?type=3&theater,see website link for full menu,,724-839-7140,,,True,False,True,,True,,39.759173,-79.980159,,,,,,,,,,,,
False,Tower Restaurant,Restaurant,"680 W Chestnut St Washington, PA 15301",,,,,,,724-222-5952,,,,,True,,False,258,40.169556,-80.260334,,,,,,,,,,,,
True,Manor Volunteer Fire Department,Fire Department,"44 Main St, Manor, PA 15665",http://manorvfd.org,"Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 3:00 PM to 7:00 PM, Wednesday Mar 6 from 4:00 PM to 7:00 PM",,http://manorvfd.org/news.html?view=1&id=76869,"1 Piece Fish Dinner- $8     2 Piece Fish Dinner- $10

               6 Piece Shrimp Dinner- $9    9 Piece Shrimp Dinner- $11

               4 Piece Chicken Dinner- $10

Dinners Include: 2 Sides, Dinner Roll, Butter, Beverage, & Dessert    

*Fish available Fried or Baked

**Homemade hot onion sauce available upon request**

Platter:     Fish Sandwich Platter- $10

Platter Includes:     2 Pieces of Fish in a Large Sandwich Bun, 1 Side, Beverage, & Dessert

*Fish available Fried or Baked

Kids Meal:  Kids Meal- $5

Kids Meal Includes:     A choice of Hotdog, Hamburger, Cheeseburger, Chicken (2 Pieces) Or Fish (1 Piece), 1 Side, Beverage, & Dessert

Sides:     Cole Slaw        Apple Sauce

              Perogies         Macaroni & Cheese

              Fries               Haluski

Al a Carte:     1 Piece of Fish- $3

                     3 Pieces of Shrimp- $2

                     2 Pieces of Chicken- $2

                     Sides- $1

                     Fish Sandwich- $6

                     Beverage- $1

                     Dessert- $2

*Fish available Fried or Baked",,xxx-xxx-xxxx,,,True,,,,True,,40.332919,-79.668822,,,,,,,,,,,,
True,St. Peter Parish (Northside),Church,"907 Middle St, Pittsburgh, PA 15212",http://www.stpeterparish.org,"Friday Mar 8 from 4:00 PM to 6:30 PM, Friday Mar 15 from 4:00 PM to 6:30 PM, Friday Mar 22 from 4:00 PM to 6:30 PM, Friday Mar 29 from 4:00 PM to 6:30 PM, Friday Apr 5 from 4:00 PM to 6:30 PM, Friday Apr 12 from 4:00 PM to 6:30 PM",,,"Dinner includes: baked or fried cod; salmon cakes or crab cakes; macaroni and cheese, haluski or french fries; stewed tomatoes or vegetable of the day; cole slaw or pickled beets; includes roll, dessert, coffee or tea. Cost is $10 for adults, $5 for children.","Our Lady, Queen of Peach Church hall, corner of Suismon and Middle streets (across from Max's Allegheny Tavern)",412-321-0711,,,,,False,,True,,40.455751,-79.999768,,,,,,,,,,,,
True,"St. Patrick, Canonsburg",Church," 317 W Pike St, Canonsburg, PA 15317",http://www.stpatrickparish.net/Fish_Fry_Information.html,"Friday Apr 5 from 11:00 AM to 1:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 11:00 AM to 1:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Mar 8 from 11:00 AM to 1:00 PM, Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 11:00 AM to 1:00 PM, Friday Mar 22 from 11:00 AM to 1:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 29 from 11:00 AM to 1:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM","Fridays of Lent, except Good Friday.  Lunch - 11:00 am to 1:00 pm, take out or delivery to businesses only, no dining in available, Business & School deliveries - minimum order $30.00 (within 7 mi.).  Dinner - 4:00 pm to 7:00 pm, take out available - 724.745.6560 or Fax Order Form - 724.746.1112.",,,,724-745-6560,,,True,,True,,True,,40.258009,-80.195076,,,,,,,,,,,,
True,All Saints Parish,Church,"11264 Route 97 North, Waterford PA",http://www.allsaintsrcc.org/,"Friday Mar 8 from 4:30 PM to 7:00 PM, Friday Mar 15 from 4:30 PM to 7:00 PM, Friday Mar 22 from 4:30 PM to 7:00 PM, Friday Mar 29 from 4:30 PM to 7:00 PM, Friday Apr 5 from 4:30 PM to 7:00 PM, Friday Apr 12 from 4:30 PM to 7:00 PM","March 8, 15, 22, 29, April 5 and 12 4:30 - 7 p.m.  ",,"Baked or fried fish. Adults $10; Children under 12 $4; Toddlers free. Includes sides, drink and homemade dessert. ",,(814) 796-3023,allsaint@allsaintsrcc.org,,True,,False,,True,,41.974787,-80.009111,,,,,,,,,,,,
True,Doublewide Grill (Mars/Cranberry),Restaurant,"100 Adams Shoppes, Cranberry, PA",https://www.doublewidegrill.com/about,"Friday Mar 8 from 11:00 AM to 12:00 AM, Friday Mar 15 from 11:00 AM to 12:00 AM, Friday Mar 22 from 11:00 AM to 12:00 AM, Friday Mar 29 from 11:00 AM to 12:00 AM, Friday Apr 5 from 11:00 AM to 12:00 PM, Friday Apr 12 from 11:00 AM to 12:00 AM, Friday Apr 19 from 11:00 AM to 12:00 PM",Special Fish dish served during the day. ,https://www.doublewidegrill.com/menu,,,724-553-5212,,,True,True,True,,True,,40.687426,-80.056449,,,,,,,,,,,,
True,"St. Malachy, Kennedy Township",Church,"343 Forest Grove Road Kennedy Township, PA",,"Wednesday Mar 6 from 12:00 PM to 7:00 PM, Friday Mar 8 from 12:00 PM to 7:00 PM, Friday Mar 15 from 12:00 PM to 7:00 PM, Friday Mar 22 from 12:00 PM to 7:00 PM, Friday Mar 29 from 12:00 PM to 7:00 PM, Friday Apr 5 from 12:00 PM to 7:00 PM, Friday Apr 12 from 12:00 PM to 7:00 PM, Friday Apr 19 from 12:00 PM to 7:00 PM","Good Friday has limited menu, limited hours. For takeout call 412-771-0848.",http://www.stmalachypgh.org/2019%20Fish%20Fry%20Menu.pdf,,In School Cafeteria,412-771-0848,,,True,False,True,,True,,40.47763,-80.10313,,,,,,,,,,,,
True,Hog Father's Washington Crown Center,Restaurant,"1500 West Chestnut Street, Washington, PA 15301",hogfathersbbq.com,"Wednesday Mar 6 from 10:00 AM to 9:00 PM, Friday Mar 8 from 10:00 AM to 9:00 PM, Friday Mar 15 from 10:00 AM to 9:00 PM, Friday Mar 22 from 10:00 AM to 9:00 PM, Friday Mar 29 from 10:00 AM to 9:00 PM, Friday Apr 5 from 10:00 AM to 9:00 PM, Friday Apr 12 from 10:00 AM to 9:00 PM, Friday Apr 19 from 10:00 AM to 9:00 PM",BBQ Fish and Chips,http://hogfathersbbq.com/dine-in/,,,724-884-3725,,False,True,True,True,,True,,40.172387,-80.246061,,,,,,,,,,,,
False,"Our Lady of the Valley, Donora",Church,"1 Park Manor Rd. Donora, PA",,"Friday Apr 5 from 11:30 AM to 6:00 PM, Friday Apr 19 from 3:00 PM to 6:00 PM, Friday Apr 12 from 11:30 AM to 6:00 PM","Ash Wednesday and Fridays of Lent, including Good Friday, 11:30 a.m.-6 p.m. (3-6 p.m. Good Friday)",,"Dinners include choice of baked or fried monster fish, breaded jumbo shrimp or crab cake dinner, with choice of french fries or pierogies, cole slaw, coffee/lemonade and dessert, for $12.75. Also, baked or fried monster fish sandwich with cole slaw is $9.75, and shrimp in a basket with cole slaw is $9.75. A la carte menu includes french fries, pierogies, haluski, cole slaw, pasta fagioli with bread and more.",,724-379-7559,,,True,False,True,,False,24,40.180659,-79.861272,,,,,,,,,,,,
True,West Newton Moose Lodge 31,Unsure / N/A,"102 S Water St, West Newton, Pennsylvania 15089, United States",https://www.facebook.com/westnewtonmooselodge31,"Friday Mar 8 from 5:00 PM to 8:00 PM, Friday Mar 15 from 5:00 PM to 8:00 PM, Friday Mar 22 from 5:00 PM to 8:00 PM, Friday Mar 29 from 5:00 PM to 8:00 PM, Friday Apr 5 from 5:00 PM to 8:00 PM, Friday Apr 12 from 5:00 PM to 8:00 PM, Friday Apr 19 from 5:00 PM to 8:00 PM",,,"the menu will include Fish Sandwiches, Fish On The Dish, Shrimp and Chicken Dinners and Bullmoose Fish and Chicken Sandwiches. Sides include Fries, Halushki, Mac & Cheese, Cole Slaw and Apple Sauce.",,,,,,,False,,True,,40.210123,-79.768056,,,,,,,,,,,,
True,Centerville American Legion Post 705,Community Organization,1101 Old National Pike Fredericktown PA 15333,https://www.facebook.com/CALPost705/,"Friday Mar 8 from 5:00 PM to 8:00 PM, Friday Mar 15 from 5:00 PM to 8:00 PM, Friday Mar 22 from 5:00 PM to 8:00 PM, Friday Mar 29 from 5:00 PM to 8:00 PM, Friday Apr 5 from 5:00 PM to 8:00 PM, Friday Apr 12 from 5:00 PM to 8:00 PM, Friday Apr 19 from 5:00 PM to 8:00 PM",every friday 5-8 through lent, open to public, takeout available,https://www.facebook.com/CALPost705/photos/pcb.1036879733162931/1036879713162933/?type=3&theater,,,724-632-9591,,,True,,False,,True,,40.047622,-79.987232,,,,,,,,,,
True,Pizzarita,Restaurant,"580 Burchfield Rd., Allison Park, PA",http://pizzaritapgh.com/,"Friday Apr 5 from 11:00 AM to 10:00 PM, Friday Apr 12 from 11:00 AM to 10:00 PM, Friday Apr 19 from 11:00 AM to 10:00 PM, Friday Mar 8 from 10:00 AM to 10:00 PM, Friday Mar 15 from 10:00 AM to 10:00 PM, Friday Mar 22 from 10:00 AM to 10:00 PM, Friday Mar 29 from 10:00 AM to 10:00 PM",,,,,412-487-1112,,,True,,True,,True,,40.544537,-79.962887,,,,,,,,,,,,
False,St Gregory Russian Orthodox Church,Church,"214 E. 15th Ave, Homestead, PA 15120",http://www.stgregoryrussianchurch.org/,"Friday Apr 12 from 11:00 AM to 5:00 PM, Friday Apr 5 from 11:00 AM to 5:00 PM, Friday Mar 8 from 11:00 AM to 5:00 PM, Friday Mar 15 from 11:00 AM to 5:00 PM, Friday Apr 19 from 11:00 AM to 5:00 PM, Friday Mar 22 from 11:00 AM to 5:00 PM, Friday Mar 29 from 11:00 AM to 5:00 PM",Homemade Cheregies!,http://www.stgregoryrussianchurch.org/fish-fry-english/,,,412-462-8256,,False,True,False,True,,False,179,40.402733,-79.905097,,,,,,,,,,,,
True,Coy's Store & Pizza Shop,Unsure / N/A,"11919 U.S. 422 Penn Run, PA 15765",http://coyspizza.com/,"Friday Mar 8 from 11:00 AM to 11:00 PM, Friday Mar 15 from 11:00 AM to 11:00 AM, Friday Mar 22 from 11:00 AM to 11:00 PM, Friday Mar 29 from 11:00 AM to 11:00 PM, Friday Apr 5 from 11:00 AM to 11:00 PM, Friday Apr 12 from 11:00 AM to 11:00 PM, Friday Apr 19 from 11:00 AM to 11:00 PM",Fish Fry Menu Forthcoming,http://coyspizza.com/our-menu/,,,724-463-9449,,,True,True,True,,True,,40.572312,-78.962238,,,,,,,,,,,,
False,Riley's Pour House,Restaurant,"215 East Main Street, Carnegie, Pennsylvania 15106, United States",http://www.rileyspourhouse.com/,,11am-1am every Friday including Good Friday,,,,412.279.0770,,,,True,True,,False,,40.408625,-80.085221,,,,,,,,,,,,
False,Fairmont-Hahntown VFD,Fire Department,"890 Rose St, Irwin, PA 15642",http://fhvfd6.com/,,Not sure if the website is up to date,http://fhvfd6.com/custom.html?id=20715,"FRIED FISH DINNER---------------------------------------------------------------------------$9.50

BAKED FISH DINNER**------------------------------------------------------------------------$9.50

SHRIMP DINNER--------------------------------------------------------------------------------$9.50

CHICKEN STRIP DINNER(6)--------------------------------------------------------------------------$8.50

*ALL DINNERS INCLUDE FRESH CUT FRENCH FRIES,COLE SLAW & ROLL(No Substitutions)

**BAKED FISH DINNER MADE TO ORDER. PLEASE ALLOW FOR EXTRA TIME.

KIDS MENU

CHICKEN STRIPS(3) OR FISH WITH FRIES---------------------------------------------$5.00

CHICKEN STRIPS(3) OR FISH WITH FRIES---------------------------------------------$5.50

SANDWICHES

FISH SANDWICH--------------------------------------------------------------------------------$7.50

GRILLED CHEESE------------------------------------------------------------------------------$2.50

SIDE DISHES

PIECE OF FISH-----------------------------------------------------------------------------------$4.00

SHRIMP BASKET--------------------------------------------------------------------------------$5.00

FRESH CUT FRENCH FRIES----------------------------------------------------------------$2.00

COLE SLAW---------------------------------------------------------------------------------------$1.25

HALUSKI--------------------------------------------------------------------------------------------$2.25

MACARONI & CHEESE------------------------------------------------------------------------$2.00

PIEROGIES-POTATO & CHEESE----------------------SMALL(3) $2.00 LARGE(6)  $4.00

PLAIN SLICE OF PIZZA------------------------------------------------------------------------$2.00

CUP OF CHEESE---------------------------------------------------------------------------------$ .75

ROLL-------------------------------------------------------------------------------------------------$1.00",,(724) 863-4258,,,,,,,False,,40.3162,-79.722499,,,,,,,,,,,,
True,Larimer VFD,Fire Department,"1340 Brownstown Rd., Larimer, PA",https://www.facebook.com/larimervfd/,"Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 3:00 PM to 7:00 PM",All Fridays in Lent 4-7 pm except Good Friday is 3-7 pm.,,,,724-863-9809,,,,,,,True,,40.344486,-79.72572,,,,,,,,,,,,
True,St. Agnes Holy Trinity,Church,"Holy Trinity Church Social Hall, 529 Grant Avenue Ext. West Mifflin, PA 15122-3830",,"Wednesday Mar 6 from 11:00 AM to 6:00 PM, Friday Mar 8 from 11:00 AM to 6:00 PM, Friday Mar 15 from 11:00 AM to 6:00 PM, Friday Mar 22 from 11:00 AM to 6:00 PM, Friday Mar 29 from 11:00 AM to 6:00 PM, Friday Apr 5 from 11:00 AM to 6:00 PM, Friday Apr 12 from 11:00 AM to 6:00 PM, Friday Apr 19 from 11:00 AM to 6:00 PM",,http://church.stagneswm.com/wp-content/uploads/2019/02/2019-Fish-Fry-Menu.pdf,"Menu: fried and baked fish sandwiches and dinner; soups; haluski; shrimp; crab cakes; pierogies; macaroni and cheese; salads; stuffed tomato with tuna; tuna salad on croissant; egg salad on croissant; cheese pizza. Special ""captain's platter."" Takeout offered; call 412-466-9695.",,412-466-9695,,,True,False,True,,True,,40.370546,-79.86589,,,,,,,,,,,,
True,Holy Spirit (West Mifflin),Church,"2603 Old Elizabeth Road, West Mifflin, Pa 15122",https://facebook.com/holyspiritchurch/,"Wednesday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 8 from 11:00 AM to 7:00 PM, Friday Mar 15 from 11:00 AM to 7:00 PM, Friday Mar 22 from 11:00 AM to 7:00 PM, Friday Mar 29 from 11:00 AM to 7:00 PM, Friday Apr 5 from 11:00 AM to 7:00 PM, Friday Apr 12 from 11:00 AM to 7:00 PM, Friday Apr 19 from 11:00 AM to 7:00 PM",,https://www.facebook.com/holyspiritchurch/photos/a.297776400252869/2344281502269005/?type=3&theater,,Horner Hall- lower level,412-466-3444,,,,,,,True,,40.348065,-79.93331,,,,,,,,,,,,
True,"Our Lady of the Miraculous Medal, Meadow Lands",Church,"300 Pike St, Meadow Lands, PA",https://miraculousmedalchurch.org/,"Wednesday Mar 6 from 11:00 AM to 7:30 PM, Friday Mar 8 from 11:00 AM to 7:30 PM, Friday Mar 15 from 11:00 AM to 7:30 PM, Friday Mar 22 from 11:00 AM to 7:30 PM, Friday Mar 29 from 11:00 AM to 7:30 PM, Friday Apr 5 from 11:00 AM to 7:30 PM, Friday Apr 12 from 11:00 AM to 7:30 PM",.Ash Wednesday and all Fridays in Lent/Except Good Friday/11:00 AM - 7:30 PM,https://ecatholic-sites.s3.amazonaws.com/21392/documents/2019/2/OLMM%20FF%20Menu%202019-1.png,,,724-228-8575,fishfry@miraculousmedalchurch.org,,True,,True,,True,,40.219197,-80.220646,,,,,,,,,,,,
False,"St. Therese of Lisieux, Munhall",Church,"3 St. Therese Court Pittsburgh, PA",http://www.st-therese.net/,"Friday Apr 19 from 3:30 PM to 7:00 PM, Friday Mar 29 from 3:30 PM to 7:00 PM, Friday Apr 12 from 3:30 PM to 7:00 PM, Friday Mar 15 from 3:30 PM to 7:00 PM, Friday Apr 5 from 3:30 PM to 7:00 PM, Friday Mar 8 from 3:30 PM to 7:00 PM, Friday Mar 22 from 3:30 PM to 7:00 PM",,,,,412-462-8164,,,True,,False,,False,48,40.387956,-79.901066,,,,,,,,,,,,
True,Hanover Volunteer Fire Department Fish Fry,Fire Department,"9 Starck Drive, Burgettstown, PA 15021",,"Wednesday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 8 from 11:00 AM to 7:00 PM, Friday Mar 15 from 11:00 AM to 7:00 PM, Friday Mar 22 from 11:00 AM to 7:00 PM, Friday Mar 29 from 11:00 AM to 7:00 PM, Friday Apr 5 from 11:00 AM to 7:00 PM, Friday Apr 12 from 11:00 AM to 7:00 PM, Friday Apr 19 from 11:00 AM to 7:00 PM",Delivery available,https://www.facebook.com/hanovervfd45/photos/a.1626464294279465/2226820690910486/?type=3&theater,,,724-729-3929,,,True,False,True,,True,,40.380792,-80.393425,,,,,,,,,,,,
True,"St Elizabeth Ann Seton, Carnegie",Church,"330 3rd Ave, Carnegie, PA 15106",visit www.seascarnegie.org,"Wednesday Mar 6 from 11:30 AM to 7:00 PM, Friday Mar 8 from 11:30 AM to 7:00 PM, Friday Mar 15 from 11:30 AM to 7:00 PM, Friday Mar 22 from 11:30 AM to 7:00 PM, Friday Mar 29 from 11:30 AM to 7:00 PM, Friday Apr 5 from 11:30 AM to 7:00 PM, Friday Apr 12 from 11:30 AM to 7:00 PM, Friday Apr 19 from 3:00 PM to 7:00 PM","For phone orders, call 412-276-1011, ext. 220, from 11 a.m.-6 p.m./Progressive 50/50 occurring during fish fry. ",,"Dinner menu and cost: fish trio (fried fish, shrimp, crab cake), $12.50; baked fish on dish, $8.50; fried fish on dish, $8.25; crab cake, $9; jumbo shrimp, $8.50; pierogie (6), $6; macaroni and cheese with stewed tomatoes, $6; fish Parmesan (with pasta marinara), $8.75; A la carte menu: popcorn shrimp; pierogies (sold individually or by dozen); tuna salad on lettuce, clam chowder, potato soup and more.",In St Luke Hall,412-276-1011 ext 220,,,,,True,,True,,40.403918,-80.091003,,,,,,,,,,,,
